epoch,acc,loss,val_acc,val_loss
0,0.17452625672905217,3.1752908659126042,0.39984164688196433,2.1988192546584733
1,0.646739269051453,1.2817984424637303,0.6688836104890608,1.3018270491232309
2,0.7918335076176085,0.7535954308329229,0.7394299287599698,1.1094703739348235
3,0.8491927873702466,0.5570618073195208,0.7900237529879983,0.9547262062180731
4,0.8835471447881864,0.43219876971699406,0.814568487718194,0.9051332529725673
5,0.90861791935525,0.3489376670053891,0.820585906590532,0.9266629584139524
6,0.9244051110714376,0.29076266240985743,0.8273159144798726,0.8746997220876759
7,0.9351679461363361,0.24775744447757628,0.8304038004939366,0.8633226455815332
8,0.9459562855466858,0.21019871603443763,0.8404592240885526,0.8439166832706424
9,0.9541686857609223,0.18172213848034277,0.8572446556008249,0.7851317300838039
10,0.9736029993129027,0.11631235861531078,0.8771179731271612,0.7250072762641468
11,0.9776836950700094,0.10361026089689113,0.87632620748979,0.7449285694463613
