epoch,acc,loss,val_acc,val_loss
0,0.07095309750312428,3.506226401652656,0.13420427554152073,3.306654559518266
1,0.44188834196382476,2.0433610667518725,0.7556611242788893,0.9106440572255392
2,0.798464638223857,0.6647282245176844,0.8865399841646873,0.4389276688309388
3,0.8932132928664337,0.34430898308507696,0.9200316706254948,0.30351337988109506
4,0.9253742763156317,0.23770236031956649,0.9340459224069675,0.25477631245271515
5,0.9466704073044454,0.17184677716668487,0.9412509897070467,0.21681425244748734
6,0.9584024076104976,0.13108835068600383,0.9462391132224861,0.20952918768129647
7,0.9670738860975796,0.10561333234334047,0.9488519398258115,0.20067075408717894
8,0.971741181871509,0.08875171138191859,0.947901821060966,0.19918343680612124
9,0.9766125124333699,0.07663700783332564,0.9524940617577197,0.18464197665010523
10,0.9822489734499732,0.05880006168680593,0.9555819477434679,0.17271519558266785
11,0.9833711647835957,0.05185231209237758,0.9559778305621536,0.1728154398902059
