epoch,acc,loss,val_acc,val_loss
0,0.38327934913206685,2.392800251461455,0.5960411718508977,1.5312494358937134
1,0.7742865158509525,0.8264165719773295,0.7741092636768344,0.9277673570013009
2,0.8707949705455178,0.478073822828419,0.8074425970101677,0.8330886866682027
3,0.9142798847203448,0.3265987520193238,0.8190815518512107,0.8014319246851633
4,0.9370807722716723,0.2455429810745688,0.8431512272556151,0.7365168868221184
5,0.950062485653804,0.19130532274192247,0.860807600921803,0.6718264795963668
6,0.9609018337626566,0.15524286461458237,0.8631037213456886,0.6518254846617615
7,0.9672269121885282,0.12779169655708664,0.8680918447856193,0.6491672543748352
8,0.9737305210538397,0.10143770523569405,0.8707046713889447,0.6687293790227727
9,0.9787803820551404,0.08596318925855183,0.8721298495834061,0.6594683047876599
10,0.9891096431941646,0.05390212864579406,0.8855106888077887,0.6415654392029592
11,0.9908949475885639,0.046928263179935634,0.8861441013176858,0.6417861696896059
